Incident Type,Location,Borough,Creation Date,Closed Date,Latitude,Longitude
Fire-4th Alarm,511 Amsterdam Avenue,Manhattan,02/24/2017 06:21:05 PM,,40.71442154062271,-74.00607638041981
Fire-Collapse,3000 Jerome Avenue,Bronx,02/19/2017 06:22:00 AM,,40.874108528386955,-73.88906744340699
Utility-Other,434 Beach 54 Street,Queens,01/09/2017 12:54:45 PM,,40.71400364095638,-73.82998933154158
Fire-4th Alarm,1342 College Avenue,Bronx,03/01/2017 01:53:39 PM,,40.83625315865743,-73.91128251637423
Utility-Steam Main,35 Madison Street,Manhattan,02/15/2017 10:53:15 AM,,,
Fire-1st Alarm,151 West 100 Street,Manhattan,12/23/2016 01:36:49 PM,,40.71442154062271,-74.00607638041981
Fire-3rd Alarm,7 East 84 Street,Manhattan,03/14/2017 03:04:32 AM,,40.71442154062271,-74.00607638041981
Fire-7th Alarm,110-14 Liberty Avenue,Queens,03/04/2017 11:13:52 PM,,40.71400364095638,-73.82998933154158
HazMat-High Carbon Monoxide,30 Cooper Square,Manhattan,01/12/2017 02:30:24 PM,,40.71442154062271,-74.00607638041981
Law Enforcement-Other,,Brooklyn,02/21/2017 03:32:14 PM,,,
Fire-3rd Alarm,64 Driggs Street,Staten Island,03/06/2017 04:10:57 AM,,40.541946569279844,-74.14887190311504
Fire-7th Alarm,110-14 Liberty Avenue,Queens,03/04/2017 11:13:52 PM,,40.71400364095638,-73.82998933154158
Structural-Street Collapse,205 East 33 Street,Manhattan,02/14/2017 09:13:41 AM,,40.71442154062271,-74.00607638041981
Fire-4th Alarm,657 Crotona Park North,Bronx,03/06/2017 06:40:53 PM,,40.84251557063817,-73.89461654911366
HazMat-High Carbon Monoxide,1472 Boston Road,Bronx,03/08/2017 06:11:16 PM,,40.83414587353434,-73.89497320315002
Fire-3rd Alarm,64 Driggs Street,Staten Island,03/06/2017 04:10:57 AM,,40.541946569279844,-74.14887190311504
Fire-7th Alarm,110-14 Liberty Avenue,Queens,03/04/2017 11:13:52 PM,,40.71400364095638,-73.82998933154158
Utility-Other,71-17 Roosevelt Avenue,Queens,03/03/2017 10:33:21 AM,,,
Fire-7th Alarm,110-14 Liberty Avenue,Queens,03/04/2017 11:13:52 PM,,40.71400364095638,-73.82998933154158
Structural-Falling Debris,1031 Lorimer St,Brooklyn,02/10/2017 02:40:01 PM,02/10/2017 02:54:43 PM,40.72641442638576,-73.95335944947823
Law Enforcement-Device,104-44 164 Place,Queens,03/08/2017 06:27:24 AM,03/08/2017 07:33:25 AM,,
Fire-10-76 (Commercial High Rise Fire),390 Madison Avenue,Manhattan,03/02/2017 11:41:36 PM,,40.71442154062271,-74.00607638041981
Utility-Gas Low Pressure,Noble Avenue & Watson Avenue,Bronx,01/30/2017 09:47:09 PM,02/10/2017 07:40:58 PM,40.82730091310776,-73.86917897682753
Utility-Water Main,156 Montague Street,Brooklyn,03/02/2017 04:00:43 PM,,40.6944042074893,-73.99298759520053
Structural-Street Collapse,205 East 33 Street,Manhattan,02/14/2017 09:13:41 AM,,40.71442154062271,-74.00607638041981
Structural-Street Collapse,205 East 33 Street,Manhattan,02/14/2017 09:13:41 AM,,40.71442154062271,-74.00607638041981
Utility-Gas Low Pressure,Noble Avenue & Watson Avenue,Bronx,01/30/2017 09:47:09 PM,,40.82730091310776,-73.86917897682753
Fire-1st Alarm,151 West 100 Street,Manhattan,12/23/2016 01:36:49 PM,,40.71442154062271,-74.00607638041981
Transportation-Train Subway,Hanson Place & Ashland Place,Brooklyn,01/04/2017 08:28:01 AM,,40.685060114733574,-73.97796750329684
Transportation-Other,Van Wyck Expressway North and South Bound,Queens,02/10/2017 05:18:05 AM,02/10/2017 04:09:24 PM,,
Utility-Power Outage,150 North 7th Street,Brooklyn,02/10/2017 02:36:18 AM,02/10/2017 07:38:17 PM,40.718196247959554,-73.95836658235106
Fire-2nd Alarm,690 10th Avenue,Manhattan,02/15/2017 11:45:10 AM,02/15/2017 03:50:22 PM,,
Utility-Steam Main,35 Madison Street,Manhattan,02/15/2017 10:53:15 AM,02/16/2017 01:20:02 PM,,
Fire-2nd Alarm,657 East 39 Street,Brooklyn,02/16/2017 12:15:50 PM,02/16/2017 02:15:28 PM,40.64098430078593,-73.93982527141833
Fire-1st Alarm,151 West 100 Street,Manhattan,12/23/2016 01:36:49 PM,,40.71442154062271,-74.00607638041981
Utility-Electric Feeder Cable,Paluding Avenue,Bronx,02/16/2017 05:02:03 PM,02/16/2017 07:02:51 PM,40.882983845928834,-73.85327652678944
Utility-Other,172-44 133 Avenue,Queens,02/14/2017 08:15:54 AM,02/16/2017 07:45:33 PM,40.71400364095638,-73.82998933154158
Fire-2nd Alarm,423 Broadway,Brooklyn,02/21/2017 04:53:30 AM,02/21/2017 08:42:30 AM,40.70685677002501,-73.9533011725103
Utility-Other,434 Beach 54 Street,Queens,01/09/2017 12:54:45 PM,01/10/2017 04:22:29 AM,40.71400364095638,-73.82998933154158
Utility-Steam Service Line,5th Avenue  & 57th Street,Manhattan,01/06/2017 11:44:57 AM,,,
Fire-6th Alarm,324 East 93rd,Manhattan,10/27/2016 03:40:16 AM,,40.71442154062271,-74.00607638041981
Fire-3rd Alarm,7 East 84 Street,Manhattan,03/14/2017 03:04:32 AM,,40.71442154062271,-74.00607638041981
Structural-Partial Collapse,246 West Fordham Road,Bronx,04/01/2017 09:55:47 AM,,40.861716573861884,-73.91068343209389
Structural-Street Collapse,Broad Street & Water Street,Manhattan,03/19/2017 09:03:04 PM,,,
Fire-7th Alarm,110-14 Liberty Avenue,Queens,03/04/2017 11:13:52 PM,,40.71400364095638,-73.82998933154158
Utility-Other,434 Beach 54 Street,Queens,01/09/2017 12:54:45 PM,01/18/2017 03:49:17 PM,40.71400364095638,-73.82998933154158
Utility-Water Main,St.Nicholas Avenue c/s West 162 Street,Manhattan,01/19/2017 09:30:45 PM,,40.78997515208777,-74.01747454754952
Fire-2nd Alarm,41-45 70 Street,Queens,02/05/2017 06:38:30 AM,,40.71400364095638,-73.82998933154158
Utility-Power Outage,2800 W 5 St,Brooklyn,11/18/2016 02:13:08 PM,11/18/2016 11:31:39 PM,40.57967988661858,-73.97190927609142
Administration-Other,Seagirt Blvd & Beach 9 Street,Queens,11/14/2016 03:53:54 PM,,40.71400364095638,-73.82998933154158
Administration-Planned Event,1227 Tinton Avenue,Bronx,06/01/2016 02:29:27 PM,,40.83008667276402,-73.9000468719392
Utility-Water Main,1st Avenue and East 24 Street,Manhattan,01/25/2017 11:09:35 AM,01/25/2017 11:17:47 AM,40.71442154062271,-74.00607638041981
Law Enforcement-Other,,Brooklyn,10/29/2016 05:35:28 PM,,,
Utility-Water Main,462 1st Avenue,Manhattan,01/25/2017 08:48:11 AM,01/25/2017 05:48:02 PM,40.71442154062271,-74.00607638041981
Structural-Crane,,Brooklyn,11/18/2016 01:12:51 PM,,,
Utility-Water Service Line,West 167th Street & Edgecombe Avenue,Manhattan,01/23/2017 03:54:00 AM,01/25/2017 08:51:44 PM,40.71442154062271,-74.00607638041981
Rescue-Confined Space,70 Morningside Drive,Manhattan,02/04/2017 08:12:02 AM,02/04/2017 09:57:31 AM,40.71442154062271,-74.00607638041981
Utility-Gas Low Pressure,Noble Avenue & Watson Avenue,Bronx,01/30/2017 09:47:09 PM,,40.82730091310776,-73.86917897682753
Fire-3rd Alarm,7 East 84 Street,Manhattan,03/14/2017 03:04:32 AM,,40.71442154062271,-74.00607638041981
Utility-Gas Service Line,21-24 31 Street,Queens,03/21/2017 07:39:32 PM,,40.71400364095638,-73.82998933154158
Fire-1st Alarm,826 Broadway,Manhattan,03/31/2017 07:57:15 AM,,40.71442154062271,-74.00607638041981
Structural-Street Collapse,44 Street & East 4th Street,Brooklyn,03/30/2017 07:58:26 PM,,40.651493140455166,-73.99822557617236
Fire-Other,172 wythe ave,Brooklyn,04/01/2017 05:29:36 PM,,40.71935245685148,-73.96067200790606
Fire-2nd Alarm,155-26 115 Avenue,Queens,12/17/2016 09:04:03 AM,,,
Structural-Evacuation,297 Lenox Road,Brooklyn,01/25/2017 12:45:01 PM,01/25/2017 09:18:56 PM,40.65420844656364,-73.94932204027913
Law Enforcement-Suspicious Package,217 Butler St,Brooklyn,01/25/2017 09:43:10 PM,,40.682156779412935,-73.9869408064722
Fire-2nd Alarm,253 Halsey Street,Brooklyn,02/04/2017 09:12:18 AM,02/04/2017 10:24:07 AM,40.68260784068042,-73.94294423988396
Fire-10-76 (Commercial High Rise Fire),723 7th Avenue,Manhattan,02/21/2017 05:07:39 AM,02/21/2017 08:53:42 AM,40.71442154062271,-74.00607638041981
Fire-Other,West 31 Street  & 7 Avenue,Manhattan,02/21/2017 05:29:34 PM,02/21/2017 05:45:33 PM,40.71442154062271,-74.00607638041981
Fire-1st Alarm,,Bronx,02/22/2017 10:41:21 PM,02/22/2017 11:45:56 PM,,
Utility-Water Main,Cypress Hills Street & Jackie Robinson Parkway,Queens,02/22/2017 08:48:04 PM,02/23/2017 05:43:11 AM,40.707643755001996,-73.84801875249201
Law Enforcement-Device,237 7 Avenue,Brooklyn,03/02/2017 12:11:07 PM,03/02/2017 12:49:50 PM,40.66976016280239,-73.97912706845864
Utility-Gas High Pressure,50-15 Beach Channel Drive,Queens,12/19/2016 11:25:52 AM,12/19/2016 02:57:04 PM,40.71400364095638,-73.82998933154158
Fire-3rd Alarm,1028 Post Avenue,Staten ISland,02/09/2017 07:12:40 AM,02/09/2017 10:50:05 AM,40.63316590068683,-74.13476544866569
Fire-1st Alarm,151 West 100 Street,Manhattan,12/23/2016 01:36:49 PM,,40.71442154062271,-74.00607638041981
Transportation-Train Ground Level,West 31 Street  & 7 Avenue,Manhattan,02/10/2017 08:16:44 PM,02/10/2017 09:07:16 PM,40.71442154062271,-74.00607638041981
Utility-Water Main,5601 16 Avenue,Brooklyn,12/20/2016 07:16:23 AM,,40.62681840384738,-73.98983948870062
Fire-10-77 (Residential High Rise Fire),1 Central Park West,Manhattan,03/03/2017 04:44:03 AM,03/03/2017 06:38:57 AM,40.71442154062271,-74.00607638041981
Fire-2nd Alarm,,Brooklyn,04/21/2015 05:35:04 AM,04/21/2015 07:47:48 AM,,
Fire-2nd Alarm,106-35 96 Street,Queens,04/28/2015 02:24:06 AM,04/28/2015 07:28:18 AM,,
Structural-Life Safety Violations,35 Market street,Manhattan,07/06/2011 10:49:37 AM,07/07/2011 10:48:28 AM,40.71253701601548,-73.9944053408339
Utility-Gas Main Rupture,110-10 179 Place,Queens,07/07/2011 10:04:19 AM,07/07/2011 09:06:53 PM,40.69923006317026,-73.77493450081198
Fire-3rd Alarm,64 Driggs Street,Staten Island,03/06/2017 04:10:57 AM,,40.541946569279844,-74.14887190311504
Fire-2nd Alarm,88 prospect park west,Brooklyn,03/04/2017 09:26:13 PM,,40.66733561934444,-73.97463035030961
Fire-7th Alarm,110-14 Liberty Avenue,Queens,03/04/2017 11:13:52 PM,,40.71400364095638,-73.82998933154158
Fire-4th Alarm,653 Crotona Park North,Bronx,03/06/2017 06:40:53 PM,,40.84252576265493,-73.89462388938017
Utility-Water Main,73 East 77 Street,Manhattan,02/03/2017 02:31:19 AM,02/03/2017 10:03:18 AM,40.71442154062271,-74.00607638041981
Fire-1st Alarm,241 Rockaway Avenue,Brooklyn,03/05/2017 07:54:46 AM,03/05/2017 10:34:12 AM,40.67437684151912,-73.91106456117973
Fire-2nd Alarm,4111 Bronxwood Avenue,Bronx,03/06/2017 07:32:59 AM,03/06/2017 10:04:07 AM,,
Structural-Other,565 Broadway,Manhatten,03/06/2017 09:56:12 AM,03/06/2017 10:40:31 AM,40.71442154062271,-74.00607638041981
Fire-10-77 (Residential High Rise Fire),22 e 38 st,new york,03/07/2017 01:49:34 AM,03/07/2017 02:45:57 AM,40.750214670471735,-73.98102953748236
Structural-Collapse,19 Troutman Street,Brooklyn,05/18/2011 05:06:33 PM,07/08/2011 01:17:27 PM,40.6976193602926,-73.93350299947767
Fire-2nd Alarm,25 Division Place,Brooklyn,07/08/2011 03:18:24 AM,07/08/2011 01:19:46 PM,40.72049202396015,-73.93946873099358
Utility-Gas Main Rupture,640 West 249 Street,Bronx,07/08/2011 11:37:15 AM,07/08/2011 01:41:47 PM,40.89754387701096,-73.91100674505495
Fire-2nd Alarm,15-15 Hazen Street,Queens,07/10/2011 08:52:33 PM,07/11/2011 11:27:33 AM,40.79140979722039,-73.88433753907229
Structural-Crane,,Brooklyn,12/08/2016 09:38:34 PM,12/10/2016 12:25:33 PM,,
Structural-Collapse,,Brooklyn,11/15/2016 09:28:27 PM,11/15/2016 09:51:00 PM,,
Law Enforcement-Device,10th Street & 5th Avenue,Brooklyn,11/20/2016 12:09:48 PM,11/20/2016 01:39:34 PM,40.69245067136251,-73.99035622745714
Structural-Crane,229 Cherry Street,Manhattan,11/30/2016 04:29:12 PM,12/03/2016 06:54:17 PM,40.71442154062271,-74.00607638041981
HazMat-Fuel,115-31 203 Street,Queens,12/05/2016 12:51:41 PM,12/05/2016 03:46:31 PM,40.71400364095638,-73.82998933154158
Utility-Power Outage,393 Powell Street,Brooklyn,06/20/2011 06:53:05 PM,06/20/2011 10:42:31 PM,40.66457227730977,-73.90265586615918
Structural-Stability Problem,472 Park Ave,Brooklyn,06/15/2011 10:21:14 PM,06/21/2011 12:48:56 PM,40.69665089973534,-73.95765877230082
HazMat-Radiation,34-02 Queens Blvd,Queens,06/21/2011 12:42:42 PM,06/21/2011 02:04:02 PM,40.7445365663258,-73.93060155959454
Medical-EMS MCI (Multiple Casualty Incident),8102 Avenue J,Brooklyn,06/21/2011 01:33:37 PM,06/21/2011 02:53:54 PM,40.634424482269,-73.91054698102529
Structural-Life Safety Violations,2028 East 9 Street,Brooklyn,12/16/2016 12:35:45 PM,12/16/2016 03:58:08 PM,40.59972440715677,-73.96242613555688
Structural-Crane,225 Park Avenue South,Manhattan,12/09/2016 12:20:14 PM,,40.71442154062271,-74.00607638041981
HazMat-Fuel,83-34 23rd Ave,Queens,10/26/2012 05:51:48 AM,10/26/2012 07:52:24 AM,40.766667747259845,-73.88610972898763
LawEnforcement-Suspicious Package,40 Wall Street,Manhattan,03/15/2013 09:36:02 AM,03/15/2013 10:46:05 AM,40.70662450902973,-74.00987544691888
HazMat-Fuel,5th Avenue & E. 37th Street,Manhattan,03/15/2013 07:59:48 AM,03/15/2013 10:49:46 AM,40.75034217553468,-73.98317401491663
Structural-Stability Problem,74-16 Beach Channel,Queens,04/02/2013 03:19:10 AM,04/02/2013 05:12:05 AM,,
Fire-School,200 Nedra Lane,Staten Island,05/15/2013 01:03:27 PM,05/16/2013 01:25:45 AM,40.552955071165755,-74.19457906602149
Fire-Con Ed Feeder Cables on Fire,,Manhattan,05/24/2013 07:02:10 AM,05/27/2013 03:58:00 PM,40.75650363063959,-73.9537448272279
LawEnforcement-Suspicious Package,244  W 42 St,Manhattan,05/29/2013 09:21:15 AM,05/29/2013 10:05:50 AM,40.75680948253364,-73.98880324470947
Structural-Crane,500 East 30th Street,Manhattan,05/29/2013 11:48:05 AM,05/29/2013 12:09:51 PM,40.74090092512646,-73.972487530335
Fire-Manhole,37th Street  & 8th Avenue,Manhattan,07/07/2015 10:02:40 AM,07/07/2015 12:33:13 PM,40.75409245616915,-73.99207740961194
Law Enforcement-Device,,Brooklyn,11/20/2016 06:01:05 PM,11/20/2016 07:20:14 PM,,
Utility-Gas High Pressure,18 Sperry Place,Staten Island,12/06/2016 09:47:03 AM,12/06/2016 10:57:38 AM,40.5471285321571,-74.19440697500107
Utility-Gas Service Line,488 East 163rd Street,Bronx,06/22/2011 09:14:25 AM,06/22/2011 10:27:13 AM,40.82453421746532,-73.91018302200686
Utility-Manhole,Long Island Expressway (Eastbound) & Maurice Avenue,Queens,06/24/2011 06:24:37 PM,06/24/2011 11:23:14 PM,,
Structural-Overturned Crane,Knapp Street & Shore Parkway,Brooklyn,07/11/2011 02:18:56 PM,07/12/2011 12:00:57 AM,,
Utility-Water Condition,943 Sherman Ave,Bronx,07/12/2011 01:19:00 PM,07/12/2011 03:02:58 PM,40.828106267665724,-73.91919001278515
Fire-Manhole,West 20th Street & 6th Avenue,Manhattan,07/11/2011 05:44:23 PM,07/12/2011 03:59:35 PM,40.74103032206419,-73.99416477581971
Fire-3rd Alarm,18 Saint Pauls Ave,Staten Island,07/12/2011 02:18:06 PM,07/12/2011 06:35:34 PM,40.637356034207215,-74.07798117692316
Utility-Water Service Line,4011 Monticello Avenue,Bronx,11/16/2016 11:13:13 AM,11/16/2016 11:47:10 AM,40.89194701914073,-73.83857457725412
Utility-Sewer Service,3030 Godwin Terrace,Bronx,11/16/2016 10:34:53 AM,11/16/2016 01:01:00 PM,40.878411678257464,-73.90648401362552
HazMat-Other,,Brooklyn,11/17/2016 11:57:21 AM,11/17/2016 01:46:20 PM,,
Structural-Falling Debris,280 Cadman Plaza West,Brooklyn,11/20/2016 10:55:30 PM,11/20/2016 11:40:17 PM,40.69571077133611,-73.9910446512888
Fire-2nd Alarm,119-56 Long Street,Queens,11/21/2016 05:15:46 AM,11/21/2016 08:21:34 AM,40.71400364095638,-73.82998933154158
Utility-Other,1312 Caton Ave,Brooklyn,11/21/2016 04:11:09 PM,11/21/2016 04:22:12 PM,40.64972463818259,-73.96752068343199
Utility-Other,East 74th Street & 1st Avenue,Manhattan,12/06/2016 01:55:41 PM,12/06/2016 02:15:46 PM,40.71442154062271,-74.00607638041981
Structural-Sidewalk Collapse,927 Broadway,Manhattan,10/29/2016 12:13:31 PM,12/07/2016 12:54:31 PM,40.71442154062271,-74.00607638041981
Structural-Partial Collapse,2717 Gifford Avenue,Bronx,12/07/2016 05:30:00 PM,12/07/2016 07:18:32 PM,40.831077023387024,-73.83363699075369
Fire-2nd Alarm,24 Charles Street,Manhattan,12/14/2016 10:26:17 PM,12/16/2016 10:36:08 AM,40.71442154062271,-74.00607638041981
Fire-2nd Alarm,1747 West 6 Street,Brooklyn,12/15/2016 05:05:32 PM,12/16/2016 10:56:16 AM,40.604676759625875,-73.97901517750762
Administration-Meeting,720 Hunts Point Avenue,Bronx,12/14/2016 02:50:25 PM,12/17/2016 07:13:43 AM,40.81509289332348,-73.88636923265318
Administration-Other,Seagirt Blvd & Beach 9 Street,Queens,11/14/2016 03:53:54 PM,,40.71400364095638,-73.82998933154158
Transportation-Train Subway,Pennsylvania Station,Manhattan,03/24/2017 09:28:39 AM,,40.74759253989623,-73.989322102394
HazMat-Other,65 jefferson street,Manhattan,03/25/2017 09:17:30 PM,03/25/2017 10:28:02 PM,40.71442154062271,-74.00607638041981
Fire-10-76 (Commercial High Rise Fire),425 West 15th Street,Manhattan,03/28/2017 12:24:27 PM,03/28/2017 01:39:16 PM,,
Structural-Sidewalk Collapse,927 Broadway,Manhattan,10/29/2016 12:13:31 PM,11/17/2016 06:06:54 PM,40.71442154062271,-74.00607638041981
Utility-Phone Outage,1233 York Avenue,Manhattan,03/28/2017 05:24:06 PM,03/28/2017 09:40:49 PM,40.71442154062271,-74.00607638041981
Utility-Other,130 East 57 Street,Manhattan,07/19/2015 11:31:07 PM,07/20/2015 01:53:31 AM,40.761068573372185,-73.9694867097923
Fire-6th Alarm,324 East 93rd,Manhattan,10/27/2016 03:40:16 AM,11/23/2016 10:01:23 AM,40.71442154062271,-74.00607638041981
Fire-1st Alarm,3701 White Plains Road,Bronx,12/17/2016 12:44:19 PM,12/18/2016 12:34:27 AM,40.8817509329603,-73.86439425978648
Fire-3rd Alarm,2384 86th Street,Brooklyn,06/25/2011 10:07:55 AM,06/25/2011 03:47:15 PM,40.5992540777038,-73.9893950245663
Structural-Street Collapse,Bowery & Delancy St,Manhattan,06/25/2011 04:56:04 PM,06/25/2011 07:54:37 PM,40.72032388285678,-73.9940367168872
Structural-Bridge,Willow Road West & Forest Ave,Staten Island,07/14/2011 12:17:09 AM,07/14/2011 08:45:57 AM,40.62491262801529,-74.14670038715857
