	Review	Liked
178	RUDE & INCONSIDERATE MANAGEMENT.	0
179	"For service, I give them no stars."	0
180	Ryan's Bar is definitely one Edinburgh establishment I won't be revisiting.	0
181	This was like the final blow!	0
182	I'm super pissd.	0
183	#NAME?	0
184	"The pizza tasted old, super chewy in not a good way."	0
185	I wouldn't return.	0
186	Con: spotty service.	0
187	I don't think I'll be running back to Carly's anytime soon for food.	0
188	"No, I'm going to eat the potato that I found some strangers hair in it."	0
189	The food was terrible.	0
190	"For a self proclaimed coffee cafe, I was wildly disappointed."	0
191	The servers are not pleasant to deal with and they don't always honor Pizza Hut coupons.	0
192	The server was very negligent of our needs and made us feel very unwelcome... I would not suggest this place!	0
193	"Hot dishes are not hot, cold dishes are close to room temp.I watched staff prepare food with BARE HANDS, no gloves.Everything is deep fried in oil."	0
194	The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.	0
195	I had the chicken Pho and it tasted very bland.	0
196	"I have watched their prices inflate, portions get smaller and management attitudes grow rapidly!"	0
197	It's NOT hard to make a decent hamburger.	0
198	Paying $7.85 for a hot dog and fries that looks like it came out of a kid's meal at the Wienerschnitzel is not my idea of a good meal.	0
199	"This place is not quality sushi, it is not a quality restaurant."	0
200	The manager was the worst.	0
201	The waiter wasn't helpful or friendly and rarely checked on us.	0
202	"The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace."	0
203	"Probably never coming back, and wouldn't recommend it."	0
204	I don't recommend unless your car breaks down in front of it and you are starving.	0
205	"Third, the cheese on my friend's burger was cold."	0
206	"I don't know what the big deal is about this place, but I won't be back ""ya'all""."	0
207	"Strike 2, who wants to be rushed."	0
208	There is nothing privileged about working/eating there.	0
209	Paying $7.85 for a hot dog and fries that looks like it came out of a kid's meal at the Wienerschnitzel is not my idea of a good meal.	0
210	The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.	0
211	We will not be coming back.	0
212	I ordered Albondigas soup - which was just warm - and tasted like tomato soup with frozen meatballs.	0
213	"The pizza tasted old, super chewy in not a good way."	0
214	the spaghetti is nothing special whatsoever.	0
215	Very poor service.	0
216	"The burger... I got the ""Gold Standard"" a $17 burger and was kind of disappointed."	0
217	"I started this review with two stars, but I'm editing it to give it only one."	0
218	I wouldn't return.	0
219	The service was extremely slow.	0
220	After two I felt disgusting.	0
221	The only thing I wasn't too crazy about was their guacamole as I don't like it puréed.	0
222	"Bad day or not, I have a very low tolerance for rude customer service people, it is your job to be nice and polite, wash dishes otherwise!!"	0
223	The tables outside are also dirty a lot of the time and the workers are not always friendly and helpful with the menu.	0
224	"Will never, ever go back."	0
225	My gyro was basically lettuce only.	0
226	The potato chip order was sad... I could probably count how many chips were in that box and it was probably around 12.	0
227	I left with a stomach ache and felt sick the rest of the day.	0
228	"If you want to wait for mediocre food and downright terrible service, then this is the place for you."	0
229	"Host staff were, for lack of a better word, BITCHES!"	0
230	I was so insulted.	0
231	The chicken wings contained the driest chicken meat I have ever eaten.	0
232	And then tragedy struck.	0
233	The warm beer didn't help.	0
234	"I live in the neighborhood so I am disappointed I won't be back here, because it is a convenient location."	0
235	The service was poor and thats being nice.	0
236	"Also, I feel like the chips are bought, not made in house."	0
237	"Total letdown, I would much rather just go to the Camelback Flower Shop and Cartel Coffee."	0
238	I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.	0
239	"By this point, my friends and I had basically figured out this place was a joke and didn't mind making it publicly and loudly known."	0
240	Pricing is a bit of a concern at Mellow Mushroom.	0
241	It was probably dirt.	0
242	"The service was terrible, food was mediocre."	0
243	It was a pale color instead of nice and char and has NO flavor.	0
244	The buffet is small and all the food they offered was BLAND.	0
245	Food was really boring.	0
246	"No allergy warnings on the menu, and the waitress had absolutely no clue as to which meals did or did not contain peanuts."	0
247	I just don't know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine.	0
248	They brought a fresh batch of fries and I was thinking yay something warm but no!	0
249	The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.	0
250	This place should honestly be blown up.	0
251	WAAAAAAyyyyyyyyyy over rated is all I am saying.	0
252	I would avoid this place if you are staying in the Mirage.	0
253	Service stinks here!	0
254	The Burrittos Blah!	0
255	"like the other reviewer said ""you couldn't pay me to eat at this place again."""	0
256	The waiter wasn't helpful or friendly and rarely checked on us.	0
257	I never come again.	0
258	"Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!"	0
259	She ordered a toasted English muffin that came out untoasted.	0
260	Tried to go here for lunch and it was a madhouse.	0
261	I left with a stomach ache and felt sick the rest of the day.	0
262	The ambiance isn't much better.	0
263	We've tried to like this place but after 10+ times I think we're done with them.	0
264	"too bad cause I know it's family owned, I really wanted to like this place."	0
265	The potato chip order was sad... I could probably count how many chips were in that box and it was probably around 12.	0
266	We will not be coming back.	0
267	We waited for forty five minutes in vain.	0
268	The Buffet at Bellagio was far from what I anticipated.	0
269	"The Wife hated her meal (coconut shrimp), and our friends really did not enjoy their meals, either."	0
270	Overall I wasn't very impressed with Noca.	0
271	first time there and might just be the last.	0
272	"Unfortunately, it was not good."	0
273	walked in and the place smelled like an old grease trap and only 2 others there eating.	0
274	I'm not sure how long we stood there but it was long enough for me to begin to feel awkwardly out of place.	0
275	"The service was terrible, food was mediocre."	0
276	"like the other reviewer said ""you couldn't pay me to eat at this place again."""	0
277	There is not a deal good enough that would drag me into that establishment again.	0
278	I never come again.	0
279	WILL NEVER EVER GO BACK AND HAVE TOLD MANY PEOPLE WHAT HAD HAPPENED.	0
280	Terrible service!	0
281	Ordered an appetizer and took 40 minutes and then the pizza another 10 minutes.	0
282	The only reason to eat here would be to fill up before a night of binge drinking just to get some carbs in your stomach.	0
283	I've never been more insulted or felt disrespected.	0
284	I've never been treated so bad.	0
285	"Needless to say, we will never be back here again."	0
286	I was shocked because no signs indicate cash only.	0
287	The scallop dish is quite appalling for value as well.	0
288	Weird vibe from owners.	0
289	Hell no will I go back	0
290	"If the food isn't bad enough for you, then enjoy dealing with the world's worst/annoying drunk people."	0
291	"Friend's pasta -- also bad, he barely touched it."	0
292	They dropped more than the ball.	0
293	Overpriced for what you are getting.	0
294	"Also, I feel like the chips are bought, not made in house."	0
295	I paid the bill but did not tip because I felt the server did a terrible job.	0
296	"like the other reviewer said ""you couldn't pay me to eat at this place again."""	0
297	"Frozen pucks of disgust, with some of the worst people behind the register."	0
298	I can take a little bad service but the food sucks.	0
299	I paid the bill but did not tip because I felt the server did a terrible job.	0
300	But I don't like it.	0
301	"What did bother me, was the slow service."	0
302	"I had high hopes for this place since the burgers are cooked over a charcoal grill, but unfortunately the taste fell flat, way flat."	0
303	The RI style calamari was a joke.	0
304	The service was terrible though.	0
305	Disappointing experience.	0
306	My gyro was basically lettuce only.	0
307	So in a nutshell: 1) The restaraunt smells like a combination of a dirty fish market and a sewer.	0
308	And the red curry had so much bamboo shoots and wasn't very tasty to me.	0
309	Very poor service.	0
310	The scallop dish is quite appalling for value as well.	0
311	"As much as I'd like to go back, I can't get passed the atrocious service and will never return."	0
312	The manager was the worst.	0
313	The ambiance isn't much better.	0
314	It really is impressive that the place hasn't closed down.	0
315	Service sucks.	0
316	"Not much flavor to them, and very poorly constructed."	0
317	The worst was the salmon sashimi.	0
318	Ordered burger rare came in we'll done.	0
319	I've had better atmosphere.	0
320	Tonight I had the Elk Filet special...and it sucked.	0
321	After the disappointing dinner we went elsewhere for dessert.	0
322	This is a disgrace.	0
323	I give it 2 thumbs down	0
324	The poor batter to meat ratio made the chicken tenders very unsatisfying.	0
325	This is a disgrace.	0
326	"The whole experience was underwhelming, and I think we'll just go to Ninja Sushi next time."	0
327	I just wanted to leave.	0
328	I took back my money and got outta there.	0
329	He was terrible!	0
330	"Strike 2, who wants to be rushed."	0
331	Waitress was a little slow in service.	0
332	"Poor service, the waiter made me feel like I was stupid every time he came to the table."	0
333	"The building itself seems pretty neat, the bathroom is pretty trippy, but I wouldn't eat here again."	0
334	I was so insulted.	0
335	We waited for thirty minutes to be seated (although there were 8 vacant tables and we were the only folks waiting).	0
336	I was so insulted.	0
337	Not a single employee came out to see if we were OK or even needed a water refill once they finally served us our food.	0
338	I don't think we'll be going back anytime soon.	0
339	Eew... This location needs a complete overhaul.	0
340	"Poor service, the waiter made me feel like I was stupid every time he came to the table."	0
341	When my mom and I got home she immediately got sick and she only had a few bites of salad.	0
342	We started with the tuna sashimi which was brownish in color and obviously wasn't fresh.	0
343	Hell no will I go back	0
344	"I have been to very few places to eat that under no circumstances would I ever return to, and this tops the list."	0
345	"On three different occasions I asked for well done or medium well, and all three times I got the bloodiest piece of meat on my plate."	0
346	I would not recommend this place.	0
347	"I guess I should have known that this place would suck, because it is inside of the Excalibur, but I didn't use my common sense."	0
348	We watched our waiter pay a lot more attention to other tables and ignore us.	0
349	The waiter wasn't helpful or friendly and rarely checked on us.	0
350	"The Wife hated her meal (coconut shrimp), and our friends really did not enjoy their meals, either."	0
351	The tables outside are also dirty a lot of the time and the workers are not always friendly and helpful with the menu.	0
352	I was so insulted.	0
353	Must have been an off night at this place.	0
354	"Furthermore, you can't even find hours of operation on the website!"	0
355	"The pizza tasted old, super chewy in not a good way."	0
356	"Then our food came out, disappointment ensued."	0
357	The turkey and roast beef were bland.	0
358	"Host staff were, for lack of a better word, BITCHES!"	0
359	I would not recommend this place.	0
360	"The burger... I got the ""Gold Standard"" a $17 burger and was kind of disappointed."	0
361	Awful service.	0
362	I as well would've given godfathers zero stars if possible.	0
363	Nothing special.	0
364	"The pizza tasted old, super chewy in not a good way."	0
365	"I don't know what the big deal is about this place, but I won't be back ""ya'all""."	0
366	At least think to refill my water before I struggle to wave you over for 10 minutes.	0
367	"The burger... I got the ""Gold Standard"" a $17 burger and was kind of disappointed."	0
368	"For a self proclaimed coffee cafe, I was wildly disappointed."	0
369	I never come again.	0
370	"The Wife hated her meal (coconut shrimp), and our friends really did not enjoy their meals, either."	0
371	WAAAAAAyyyyyyyyyy over rated is all I am saying.	0
372	My girlfriend's veal was very bad.	0
373	So in a nutshell: 1) The restaraunt smells like a combination of a dirty fish market and a sewer.	0
374	It was probably dirt.	0
375	Pricing is a bit of a concern at Mellow Mushroom.	0
376	It was packed!!	0
377	Del Taco is pretty nasty and should be avoided if possible.	0
378	Honeslty it didn't taste THAT fresh.)	0
379	The plantains were the worst I've ever tasted.	0
380	I can take a little bad service but the food sucks.	0
381	I paid the bill but did not tip because I felt the server did a terrible job.	0
382	"The Wife hated her meal (coconut shrimp), and our friends really did not enjoy their meals, either."	0
383	Waited 2 hours & never got either of our pizzas as many other around us who came in later did!	0
384	Things that went wrong: - They burned the saganaki.	0
385	My girlfriend's veal was very bad.	0
386	AVOID THIS ESTABLISHMENT!	0
387	What a mistake that was!	0
388	"The ripped banana was not only ripped, but petrified and tasteless."	0
389	"Maybe it's just their Vegetarian fare, but I've been twice and I thought it was average at best."	0
390	"No allergy warnings on the menu, and the waitress had absolutely no clue as to which meals did or did not contain peanuts."	0
391	"However, my recent experience at this particular location was not so good."	0
392	This was like the final blow!	0
393	Over rated.	0
394	"On the ground, right next to our table was a large, smeared, been-stepped-in-and-tracked-everywhere pile of green bird poop."	0
395	I consider this theft.	0
396	I don't think we'll be going back anytime soon.	0
397	"This place is not worth your time, let alone Vegas."	0
398	It was a pale color instead of nice and char and has NO flavor.	0
399	I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.	0
400	"As for the ""mains,"" also uninspired."	0
401	"It lacked flavor, seemed undercooked, and dry."	0
402	It sure does beat the nachos at the movies but I would expect a little bit more coming from a restaurant.	0
403	I probably would not go here again.	0
404	The turkey and roast beef were bland.	0
405	"If you look for authentic Thai food, go else where."	0
406	Your staff spends more time talking to themselves than me.	0
407	And then tragedy struck.	0
408	Crust is not good.	0
409	"Worse of all, he humiliated his worker right in front of me..Bunch of horrible name callings."	0
410	Eew... This location needs a complete overhaul.	0
411	My sashimi was poor quality being soggy and tasteless.	0
412	Mediocre food.	0
413	I've had better bagels from the grocery store.	0
414	Crostini that came with the salad was stale.	0
415	I dressed up to be treated so rudely!	0
416	"Bad day or not, I have a very low tolerance for rude customer service people, it is your job to be nice and polite, wash dishes otherwise!!"	0
417	Overall I wasn't very impressed with Noca.	0
418	If you are reading this please don't go there.	0
419	I just don't know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine.	0
420	"There is really nothing for me at postinos, hope your experience is better"	0
421	And the beans and rice were mediocre at best.	0
422	"Lobster Bisque, Bussell Sprouts, Risotto, Filet ALL needed salt and pepper..and of course there is none at the tables."	0
423	Mediocre food.	0
424	It was probably dirt.	0
425	Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.	0
426	Service sucks.	0
427	The RI style calamari was a joke.	0
428	"On the ground, right next to our table was a large, smeared, been-stepped-in-and-tracked-everywhere pile of green bird poop."	0
429	It was equally awful.	0
430	It was not good.	0
431	"The servers went back and forth several times, not even so much as an ""Are you being helped?"""	0
432	I would not recommend this place.	0
433	"I probably won't be back, to be honest."	0
434	Not good for the money.	0
435	But then they came back cold.	0
436	A lady at the table next to us found a live green caterpillar In her salad.	0
437	"Will never, ever go back."	0
438	The waiter wasn't helpful or friendly and rarely checked on us.	0
439	I've never been more insulted or felt disrespected.	0
440	It was equally awful.	0
441	My husband and I ate lunch here and were very disappointed with the food and service.	0
442	The servers are not pleasant to deal with and they don't always honor Pizza Hut coupons.	0
443	It was probably dirt.	0
444	Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.	0
445	"The service was not up to par, either."	0
446	This place should honestly be blown up.	0
447	It was way over fried.	0
448	walked in and the place smelled like an old grease trap and only 2 others there eating.	0
449	The live music on Fridays totally blows.	0
450	Avoid at all cost!	0
451	I'll take my business dinner dollars elsewhere.	0
452	"Overall, I don't think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too."	0
453	I asked multiple times for the wine list and after some time of being ignored I went to the hostess and got one myself.	0
454	We won't be going back anytime soon!	0
455	I've had better atmosphere.	0
456	"The burger had absolutely no flavor - the meat itself was totally bland, the burger was overcooked and there was no charcoal flavor."	0
457	If someone orders two tacos don't' you think it may be part of customer service to ask if it is combo or ala cart?	0
458	Disappointing experience.	0
459	Con: spotty service.	0
460	This place is way too overpriced for mediocre food.	0
461	"seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere."	0
462	Very Very Disappointed ordered the $35 Big Bay Plater.	0
463	He was terrible!	0
464	Best of luck to the rude and non-customer service focused new management.	0
465	This one is simply a disappointment.	0
466	I came back today since they relocated and still not impressed.	0
467	Tried to go here for lunch and it was a madhouse.	0
468	I really enjoyed eating here.	1
469	The seafood was fresh and generous in portion.	1
470	This is an Outstanding little restaurant with some of the Best Food I have ever tasted.	1
471	Service is quick and friendly.	1
472	One of the few places in Phoenix that I would definately go back to again .	1
473	Nicest Chinese restaurant I've been in a while.	1
474	"This place is pretty good, nice little vibe in the restaurant."	1
475	* Both the Hot & Sour & the Egg Flower Soups were absolutely 5 Stars!	1
476	I would definitely recommend the wings as well as the pizza.	1
477	I miss it and wish they had one in Philadelphia!	1
478	The jalapeno bacon is soooo good.	1
479	High-quality chicken on the chicken Caesar salad.	1
480	"Give it a try, you will be happy you did."	1
481	Pretty cool I would say.	1
482	you can watch them preparing the delicious food!)	1
483	"Come hungry, leave happy and stuffed!"	1
484	The vegetables are so fresh and the sauce feels like authentic Thai.	1
485	This place is great!!!!!!!!!!!!!!	1
486	The sweet potato tots were good but the onion rings were perfection or as close as I have had.	1
487	Just spicy enough.. Perfect actually.	1
488	Our server was super nice and checked on us many times.	1
489	"On the good side, the staff was genuinely pleasant and enthusiastic - a real treat."	1
490	"The atmosphere is modern and hip, while maintaining a touch of coziness."	1
491	"They have a plethora of salads and sandwiches, and everything I've tried gets my seal of approval."	1
492	The steak was amazing...rge fillet relleno was the best seafood plate i have ever had!	1
493	"In an interesting part of town, this place is amazing."	1
494	"Service is quick and even ""to go"" orders are just like we like it!"	1
495	The classic Maine Lobster Roll was fantastic.	1
496	My ribeye steak was cooked perfectly and had great mesquite flavor.	1
497	The steak was amazing...rge fillet relleno was the best seafood plate i have ever had!	1
498	"I have eaten here multiple times, and each time the food was delicious."	1
499	Great place to relax and have an awesome burger and beer.	1
500	Their rotating beers on tap is also a highlight of this place.	1
501	"The food is delicious and just spicy enough, so be sure to ask for spicier if you prefer it that way."	1
502	The waitress and manager are so friendly.	1
503	"The wontons were thin, not thick and chewy, almost melt in your mouth."	1
504	"Be sure to order dessert, even if you need to pack it to-go - the tiramisu and cannoli are both to die for."	1
505	"The sides are delish - mixed mushrooms, yukon gold puree, white corn - beateous."	1
506	The Veggitarian platter is out of this world!	1
507	"You get incredibly fresh fish, prepared with care."	1
508	"Seriously flavorful delights, folks."	1
509	The food was outstanding and the prices were very reasonable.	1
510	#NAME?	1
511	The staff are also very friendly and efficient.	1
512	First time going but I think I will quickly become a regular.	1
513	All of the tapas dishes were delicious!	1
514	Just had lunch here and had a great experience.	1
515	"The food was very good and I enjoyed every mouthful, an enjoyable relaxed venue for couples small family groups etc."	1
516	"All in all an excellent restaurant highlighted by great service, a unique menu, and a beautiful setting."	1
517	"The food was very good and I enjoyed every mouthful, an enjoyable relaxed venue for couples small family groups etc."	1
518	Talk about great customer service of course we will be back.	1
519	The staff was very attentive.	1
520	The seasonal fruit was fresh white peach puree.	1
521	(The bathroom is just next door and very nice.)	1
522	"Love the margaritas, too!"	1
523	I ordered the Lemon raspberry ice cocktail which was also incredible.	1
524	They know how to make them here.	1
525	Everything was good and tasty!	1
526	"Anyway, this FS restaurant has a wonderful breakfast/lunch."	1
527	"I always order from the vegetarian menu during dinner, which has a wide array of options to choose from."	1
528	"Not a weekly haunt, but definitely a place to come back to every once in a while."	1
529	"It's close to my house, it's low-key, non-fancy, affordable prices, good food."	1
530	"Not to mention the combination of pears, almonds and bacon is a big winner!"	1
531	"The food was very good and I enjoyed every mouthful, an enjoyable relaxed venue for couples small family groups etc."	1
532	This place is awesome if you want something light and healthy during the summer.	1
533	Reasonably priced also!	1
534	Food was delicious!	1
535	"Went in for happy hour, great list of wines."	1
536	"The staff is super nice and very quick even with the crazy crowds of the downtown juries, lawyers, and court staff."	1
537	Pretty cool I would say.	1
538	I promise they won't disappoint.	1
539	The pancake was also really good and pretty large at that.	1
540	Great service and food.	1
541	"The owner used to work at Nobu, so this place is really similar for half the price."	1
542	"All in all an excellent restaurant highlighted by great service, a unique menu, and a beautiful setting."	1
543	Pretty cool I would say.	1
544	"I don't each much pasta, but I love the homemade /hand made pastas and thin pizzas here."	1
545	Food was really good and I got full petty fast.	1
546	I love the fact that everything on their menu is worth it.	1
547	"The decor is nice, and the piano music soundtrack is pleasant."	1
548	Last night was my second time dining here and I was so happy I decided to go back!	1
